UNHAPPY,AGE,HEALTH,RINCOM91,EDUC,SEX,BLACK,OTHER_RACE,TRAUMA1,WIDOWED,DIVORCED,SEPARATED,NEVER_MARRIED
0,89,0,0,12,1,0,0,0,0,0,0,0
1,89,2,0,7,0,0,0,0,1,0,0,0
0,89,1,0,14,0,1,0,0,1,0,0,0
0,89,0,0,8,0,0,0,0,1,0,0,0
0,89,1,0,19,1,0,0,1,1,0,0,0
0,89,0,0,9,0,0,0,1,1,0,0,0
0,89,0,0,16,0,0,0,0,1,0,0,0
0,88,1,0,8,0,0,0,0,1,0,0,0
0,88,3,0,12,1,0,0,0,1,0,0,0
0,88,2,0,7,0,0,0,1,1,0,0,0
0,87,3,0,12,1,0,0,0,0,0,0,0
0,87,2,0,13,1,0,0,0,0,0,0,0
0,87,4,0,12,0,0,0,0,1,0,0,0
0,87,1,0,11,1,0,0,0,1,0,0,0
0,87,3,0,13,1,0,0,0,1,0,0,0
0,87,0,0,10,1,0,0,1,1,0,0,0
0,86,2,0,11,0,0,0,0,0,0,0,0
0,86,0,0,12,1,0,0,1,0,0,0,0
0,86,4,0,8,0,0,0,0,1,0,0,0
0,86,1,0,8,1,0,0,0,1,0,0,0
0,86,0,0,12,0,0,0,1,1,0,0,0
0,85,3,0,2,1,0,0,1,0,0,0,0
1,85,1,0,5,0,1,0,0,1,0,0,0
1,85,1,0,9,0,0,0,1,1,0,0,0
0,85,3,0,11,0,0,0,1,1,0,0,0
0,84,0,0,10,0,0,0,0,1,0,0,0
0,84,0,0,16,0,0,0,0,1,0,0,0
1,84,3,0,16,0,0,0,0,1,0,0,0
0,84,2,0,13,0,0,0,1,1,0,0,0
0,83,2,0,11,1,0,0,1,0,0,0,0
0,83,2,0,7,1,0,0,1,1,0,0,0
0,83,2,12.33,12,0,0,0,1,1,0,0,0
0,82,4,21,16,1,0,0,0,0,0,0,0
0,82,0,0,6,1,0,0,0,0,0,0,0
0,82,3,0,8,0,0,0,0,0,0,0,0
0,82,3,0,12,1,0,0,0,0,0,0,0
0,82,0,0,14,1,0,0,0,0,0,0,0
0,82,0,9,19,1,0,0,0,0,0,0,0
0,82,3,0,10,0,1,0,0,1,0,0,0
0,82,1,0,16,0,0,0,0,1,0,0,0
0,82,0,0,12,0,0,0,1,1,0,0,0
1,82,1,0,12,1,0,0,1,1,0,0,0
0,82,4,0,15,0,0,0,1,1,0,0,0
0,82,1,0,0,1,1,0,1,0,0,0,1
0,81,4,0,4,1,0,0,0,0,0,0,0
0,81,2,0,4,1,1,0,0,0,0,0,0
0,81,3,0,13,0,0,0,0,1,0,0,0
0,81,3,12.33,13,0,0,0,0,1,0,0,0
1,81,0,0,4,0,0,1,0,1,0,0,0
0,81,0,0,12,0,0,0,0,1,0,0,0
0,81,2,0,6,0,0,0,1,1,0,0,0
0,81,0,0,8,1,1,0,1,1,0,0,0
0,81,2,0,10,0,0,0,1,1,0,0,0
0,80,4,0,10,0,0,0,0,0,0,0,0
1,80,2,0,12,0,0,0,0,1,0,0,0
0,80,3,0,13,1,0,0,0,1,0,0,0
0,80,0,0,15,0,0,0,0,1,0,0,0
1,80,0,0,18,1,0,0,0,1,0,0,0
0,80,0,0,8,1,0,0,0,0,0,0,1
0,79,3,0,12,0,0,0,0,0,0,0,0
0,79,0,12.33,12,0,0,0,0,0,0,0,0
0,79,2,0,7,0,0,0,0,1,0,0,0
1,79,3,0,16,1,0,0,0,1,0,0,0
1,79,2,0,8,0,0,0,1,1,0,0,0
1,79,0,1,12,0,0,0,1,1,0,0,0
0,79,3,0,12,0,0,0,0,0,1,0,0
0,78,4,0,15,1,0,0,0,0,0,0,0
1,78,2,0,8,1,0,0,0,0,0,0,0
0,78,3,6,9,1,0,0,0,0,0,0,0
0,78,0,0,11,1,0,0,1,0,0,0,0
0,78,0,0,12,0,0,0,1,0,0,0,0
0,78,4,0,7,0,0,0,0,1,0,0,0
0,78,3,0,12,0,0,0,0,1,0,0,0
0,78,3,0,14,0,0,0,0,1,0,0,0
0,78,1,0,10,0,0,0,0,1,0,0,0
0,78,3,0,11,0,0,0,0,1,0,0,0
0,78,0,0,12,0,0,0,0,1,0,0,0
0,78,0,16,18,0,0,0,1,1,0,0,0
0,78,3,0,12,0,1,0,1,0,1,0,0
0,77,3,0,12,0,0,0,0,0,0,0,0
0,77,2,0,15,0,0,0,0,0,0,0,0
0,77,2,0,16,1,0,0,0,0,0,0,0
0,77,0,0,8,0,0,0,1,0,0,0,0
0,77,4,13,11,1,0,0,0,1,0,0,0
1,77,3,0,13,0,0,0,0,1,0,0,0
0,77,3,0,16,0,0,0,0,1,0,0,0
0,77,1,0,10,0,0,1,0,1,0,0,0
0,77,4,18,12,0,0,0,1,1,0,0,0
0,77,0,0,13,0,0,0,1,1,0,0,0
0,77,4,0,15,0,0,0,1,1,0,0,0
0,77,0,0,16,0,0,0,1,1,0,0,0
0,77,0,12,12,0,0,0,1,1,0,0,0
0,77,0,12.33,14,0,0,0,1,0,1,0,0
0,77,0,0,12,0,0,0,0,0,1,0,0
