Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,Community Areas
55738e433aacbfeeef2f8bcc59d4fdd2de992c67,3730b3a4c5aa4eedbcf2c7d2737ad99ac636b034b3fff8562aa9117cb957d820d870be4653737c31fff233979d2d7e4690da0e2f9d1d020195fff8d59fccd16a,07/16/2016 02:15:00 PM,07/16/2016 02:15:00 PM,0,0,17031020301,17031020301,2,2,3.25,0.00,0.00,0.00,3.25,Cash,,42.00744692,-87.70460563,POINT (-87.7046056338 42.0074469243),42.00744692,-87.70460563,POINT (-87.7046056338 42.0074469243),20
292dc21e10d35ca2d14787fe5cec11972bd85c0b,328160439d115acc6021873e2080171b839c1cb44b92c1a16bb9ef48c6e8a6508dc546fbe997c2c075ca6e152cdd4e3bd5df4ec99370314ed06861865eead665,12/04/2014 10:30:00 AM,12/04/2014 10:30:00 AM,0,0,,,,,8.05,3.00,0.00,0.00,11.05,Credit Card,T.A.S. - Payment Only,,,,,,,
fe4ebf04dc5418b6f7c7f0c0c341242381e4407a,322f869ab7d6a0e4324080ba0232588244237833896669f8b2c04a6443d6d1adb60c4efa678785b4b686bce1719bb3aa2ab87e0e22cac6020b6674cad02969b5,06/04/2015 09:45:00 AM,06/04/2015 10:00:00 AM,1140,8.5,17031081600,17031411000,8,41,20.05,0.00,0.00,1.00,21.05,Cash,,41.89207264,-87.62887416,POINT (-87.6288741572 41.8920726347),41.79050626,-87.58314372,POINT (-87.5831437169 41.7905062613),37
3a984c95ee024cb5deeb9f83b80cbcbf91ce72bd,c2034bf4f0fd07e12125b97a8f48e5506c9e41464bd48586e2cd3370565ba615083b1ea9561b4d6298f71bac438b4080ad90a7749213c9f00e16285fd627917c,04/27/2015 11:15:00 PM,04/27/2015 11:15:00 PM,0,0,,,,,45.25,9.05,0.00,0.00,54.30,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,,
1e8609db8b1f025f577327399f1008b97351689b,b7ac65c02ae59d09e31fdebdc18a4780593de3157d9c9c1df0abacb453555750a373908a539fd2e975c126fb2fbc2b227f19fd0c1c7581a8c7a7ea443c88c1d3,07/04/2014 09:45:00 PM,07/04/2014 09:45:00 PM,0,0,,,,,5.25,1.05,0.00,0.00,6.30,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,,
025f28f76030ca364e4111a771e6428f3982becf,bf66d006c4634bdc6c98ee6d505187ed750e647a6b4d1cc7e6fa4c719d50ccd3e5968d0122c6667b2250d861b153392c24deaab293d88c5f04ba686a32486c8d,09/01/2014 06:30:00 PM,09/01/2014 06:45:00 PM,360,0.8,,,,,5.65,0.00,0.00,0.00,5.65,Cash,Choice Taxi Association,,,,,,,
0049d4e68817656ee54f38ece4d8e777a1918065,411767ddfe72ac709e1442e69fb39ae68c97382b53bbdb21c1119751c427be211b0b1ee92d233b95b709ddde86934919ddce870afe1bfaaea9d9614a53e27d36,09/10/2015 11:00:00 PM,09/10/2015 11:15:00 PM,660,1.7,,,,,8.05,0.00,0.00,1.00,9.05,Cash,,,,,,,,
23ce3a81a644978946b4fc21eb8052da3934aaf6,712d5ce61776db6be84e481833c75cae321ee8dd1e6b93bb301a2dcf4f120394477d8fdaaa22e9e0c9178b8a614979dbcff63660c1294bc096a6358e787bf417,01/13/2014 07:00:00 AM,01/13/2014 07:00:00 AM,60,0,,,,,38.00,0.00,0.00,0.00,38.00,Cash,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,,
783b7651206af0bf6751450e17f4edb3085642a4,c54481366d44d8c3011e54e798279f735ed2b51d200a76f81e6fd2f763f5e69d27da4d63c03a7186e16a5ecfda77c50ffc566372fa1a65d78ee5b3b37137e934,03/15/2014 09:45:00 PM,03/15/2014 09:45:00 PM,0,0,,,,,12.65,3.16,0.00,0.00,15.81,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,,
13d98839327be184d2792ce68ffd0692f74494a4,c98279e9a64942bce4698cd9b6383400d11a62273453b5310ec8c2fd9fc376db851c4b23f872527fdcbcaee881305f5a467da8ddebed1143f9acb7e21d9e5782,12/17/2015 02:30:00 PM,12/17/2015 02:45:00 PM,900,2.4,,,,,9.85,4.00,0.00,0.00,13.85,Credit Card,,,,,,,,
1e086f06c96517f7f27beca2d080003beb64a9c2,35c00a8ae34d65dc8ee013019f90fd8cc7016dbf313980a109f8a51cc0328ae5ffeae5e9ccd69b3ef758594c0d4c42741eb59dc4f5a73ab996842ce8e5f2eded,08/18/2013 02:00:00 AM,08/18/2013 02:00:00 AM,,0,,,,,10.85,3.26,0.00,0.00,14.11,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,,
85541602061848349227a61ff6520547bf8b513f,b2faa1d3e1b91bb0e84ca332617afa61667a5e8d8bc09867a441a8fba87bc8b82c0e3d0be873b2a142f0fdcc94a003101cc022009d68c05d8c0a6651b8d980fa,09/07/2014 03:45:00 PM,09/07/2014 03:45:00 PM,0,0,,,,,5.45,1.09,0.00,0.00,6.54,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,,
fcdf131f27f1f3f4c4c07aa995493f421c38d1d8,ba6cfa2579af21379f80eccf6de947f8d247cfbd5c051046415c4d4116b8139df43eab3a118a60426436957aeb26eb5439b9cb0ee4cd15456977b43504de1287,02/04/2015 09:30:00 PM,02/04/2015 09:45:00 PM,900,3.6,,,21,6,11.25,0.00,0.00,0.00,11.25,Cash,Taxi Affiliation Services,41.9386662,-87.71121059,POINT (-87.7112105933 41.9386661962),41.9442266,-87.65599818,POINT (-87.6559981815 41.9442266014),22
