HAPPY,AGE,HEALTH,RINCOM91,EDUC,SEX,RACE,TRAUMA1,MARITAL
3,43,3,17,11,1,1,0,3
2,44,2,18,16,1,2,-1,5
1,43,3,18,16,2,1,0,3
2,45,0,22,15,2,1,0,5
2,83,3,0,11,1,1,1,1
2,55,2,15,12,2,1,0,1
2,75,3,0,12,1,1,0,1
2,31,1,20,18,1,1,-1,3
1,54,2,2,18,2,1,-1,5
2,29,0,16,18,2,1,0,5
2,23,1,3,15,2,1,0,5
2,61,0,8,12,2,1,0,1
3,63,3,0,4,2,3,0,4
2,33,2,9,10,2,3,-1,5
2,36,0,10,14,2,2,0,5
2,39,2,0,8,2,2,-1,5
1,55,0,22,15,1,3,0,1
2,55,2,14,16,2,1,-1,1
2,34,0,21,16,1,1,0,1
2,36,1,15,14,2,1,-1,1
2,44,2,18,18,2,1,-1,1
3,80,0,0,18,1,1,0,2
2,32,0,11,16,1,3,1,5
1,37,0,4,5,1,3,1,1
3,32,3,13,13,1,3,-1,3
2,49,0,15,16,2,3,2,1
2,45,1,20,16,2,3,0,3
2,36,1,9,18,2,1,1,5
2,23,0,5,16,2,2,0,5
2,29,1,19,16,1,1,0,5
2,30,2,16,14,2,2,-1,5
2,40,1,16,16,2,2,0,5
2,26,0,11,11,2,1,0,5
1,66,0,0,12,1,1,1,1
1,53,0,10,14,2,3,2,1
1,20,1,2,12,2,3,-1,1
3,63,3,9,12,2,1,0,3
3,41,2,16,6,1,3,-1,1
1,33,2,17,14,2,1,0,3
1,34,1,12,12,1,3,0,1
1,61,1,13,16,2,3,-1,1
1,29,1,18,18,2,1,-1,1
2,45,1,20,13,2,1,-1,5
1,31,2,18,14,1,1,0,5
2,20,0,0,14,1,3,0,5
2,28,1,17,18,1,1,-1,1
1,34,1,18,18,2,1,0,3
1,45,1,18,13,2,1,-1,3
1,35,0,19,16,2,1,0,3
1,48,1,19,16,1,1,0,5
3,47,0,12,13,2,2,0,1
1,39,1,16,19,1,2,-1,3
2,20,2,0,13,1,2,1,5
2,27,1,4,15,2,2,1,1
2,36,2,6,12,1,1,-1,5
2,78,1,0,15,1,1,-1,1
1,42,2,16,12,2,3,-1,5
3,31,1,11,16,2,1,0,1
1,44,0,13,16,2,3,1,5
2,39,2,13,12,1,1,-1,1
3,19,2,0,11,2,1,-1,5
3,37,0,0,12,2,1,0,1
1,48,2,0,16,2,1,2,1
3,39,0,17,15,2,1,0,1
2,45,1,17,14,1,2,0,1
1,46,1,21,20,1,1,-1,1
1,23,1,15,16,2,1,-1,5
1,37,1,9,16,2,1,-1,1
2,27,2,17,13,1,1,1,5
2,23,2,4,16,2,1,-1,5
2,31,3,14,16,1,1,0,1
2,30,1,0,14,2,1,-1,1
2,77,3,0,16,1,1,-1,1
