UNHAPPY,AGE,HEALTH,RINCOM91,EDUC,MALE,TRAUMA1,DIVORCED,WIDOWED,SEPARATED,NEVER_MARRIED,BLACK,OTHER_RACE
1,43.0,2,17.0,11.0,1,0,1,0,0,0,0,0
0,44.0,3,18.0,16.0,1,0,0,0,0,1,1,0
0,43.0,2,18.0,16.0,0,0,1,0,0,0,0,0
0,45.0,3,12.33,15.0,0,0,0,0,0,1,0,0
0,83.0,2,12.33,11.0,1,1,0,0,0,0,0,0
0,55.0,3,15.0,12.0,0,0,0,0,0,0,0,0
0,75.0,2,12.33,12.0,1,0,0,0,0,0,0,0
0,31.0,4,20.0,18.0,1,0,1,0,0,0,0,0
0,54.0,3,2.0,18.0,0,0,0,0,0,1,0,0
0,29.0,3,16.0,18.0,0,0,0,0,0,1,0,0
0,23.0,4,3.0,15.0,0,0,0,0,0,1,0,0
0,61.0,3,8.0,12.0,0,0,0,0,0,0,0,0
1,63.0,2,12.33,4.0,0,0,0,0,1,0,0,1
0,33.0,3,9.0,10.0,0,0,0,0,0,1,0,1
0,36.0,3,10.0,14.0,0,0,0,0,0,1,1,0
0,39.0,3,12.33,8.0,0,0,0,0,0,1,1,0
0,55.0,3,12.33,15.0,1,0,0,0,0,0,0,1
0,55.0,3,14.0,16.0,0,0,0,0,0,0,0,0
0,34.0,3,21.0,16.0,1,0,0,0,0,0,0,0
0,36.0,4,15.0,14.0,0,0,0,0,0,0,0,0
0,44.0,3,18.0,18.0,0,0,0,0,0,0,0,0
1,80.0,3,12.33,18.0,1,0,0,1,0,0,0,0
0,32.0,3,11.0,16.0,1,1,0,0,0,1,0,1
0,37.0,3,4.0,5.0,1,1,0,0,0,0,0,1
1,32.0,2,13.0,13.0,1,0,1,0,0,0,0,1
0,49.0,3,15.0,16.0,0,1,0,0,0,0,0,1
0,45.0,4,20.0,16.0,0,0,1,0,0,0,0,1
0,36.0,4,9.0,18.0,0,1,0,0,0,1,0,0
0,23.0,3,5.0,16.0,0,0,0,0,0,1,1,0
0,29.0,4,19.0,16.0,1,0,0,0,0,1,0,0
0,30.0,3,16.0,14.0,0,0,0,0,0,1,1,0
0,40.0,4,16.0,16.0,0,0,0,0,0,1,1,0
0,26.0,3,11.0,11.0,0,0,0,0,0,1,0,0
