YEAR,ID,HRS1,HRS2,EVWORK,MARITAL,SIBS,CHILDS,AGE,PAEDUC,MAEDUC,SPEDUC,WORKHARD,OTHLANG
1973,10,40,-1,0,1,6,1,46,14,8,12,0,0
1973,92,65,-1,0,1,3,1,27,10,12,16,0,0
1973,367,40,-1,0,1,8,2,40,7,7,12,0,0
1973,399,19,-1,0,1,1,3,51,16,13,19,0,0
1973,422,28,-1,0,1,10,1,58,98,98,7,0,0
1973,547,40,-1,0,4,4,0,21,12,98,97,0,0
1973,700,40,-1,0,1,4,6,67,97,3,10,0,0
1973,996,20,-1,0,1,1,0,25,12,12,14,0,0
1973,1055,40,-1,0,1,6,2,65,97,8,13,0,0
1973,1073,40,-1,0,1,2,2,51,16,14,13,0,0
1973,1134,55,-1,0,1,4,2,35,8,10,12,0,0
1973,1174,40,-1,0,4,1,7,54,6,0,97,0,0
1973,1277,37,-1,0,1,4,6,49,8,8,3,0,0
1973,1328,48,-1,0,1,4,3,34,8,12,16,0,0
1973,1400,40,-1,0,1,11,1,23,10,10,12,0,0
1973,1419,40,-1,0,4,8,3,37,4,10,97,0,0
1973,1433,35,-1,0,1,8,2,36,5,97,12,0,0
1973,1464,40,-1,0,1,7,2,25,4,4,4,0,0
1974,31,50,-1,0,1,10,2,51,0,10,12,0,0
1974,105,40,-1,0,3,8,1,34,3,11,97,0,0
1974,158,46,-1,0,1,8,6,51,97,5,13,0,0
1974,235,40,-1,0,1,7,4,34,10,12,12,0,0
1974,241,20,-1,0,1,4,0,23,8,10,13,0,0
1974,252,50,-1,0,1,3,1,36,97,12,14,0,0
1974,296,40,-1,0,1,0,1,42,12,12,14,0,0
1974,403,40,-1,0,1,8,8,37,98,15,11,0,0
1974,499,40,-1,0,1,1,1,23,8,9,14,0,0
1974,574,34,-1,0,1,4,1,56,5,8,16,0,0
1974,669,40,-1,0,5,9,0,21,12,12,97,0,0
1974,965,48,-1,0,1,2,3,31,98,8,11,0,0
1974,1173,13,-1,0,1,4,5,42,4,5,12,0,0
1974,1484,40,-1,0,5,5,1,23,8,8,97,0,0
1975,29,35,-1,0,1,0,3,37,20,16,12,0,0
1975,126,42,-1,0,5,3,0,25,8,10,97,0,0
1975,492,25,-1,0,5,2,0,19,12,12,97,0,0
1975,551,46,-1,0,1,3,2,40,5,8,12,0,0
1975,683,89,-1,0,1,1,2,34,5,8,15,0,0
1975,1017,40,-1,0,1,0,2,28,97,11,10,0,0
