YEAR,ID,HRS1,HRS2,EVWORK,MARITAL,SIBS,CHILDS,AGE,PAEDUC,MAEDUC,SPEDUC,WORKHARD,OTHLANG
1972,37,-1,-1,1,1,3,2,58,98,8,12,0,0
1972,135,-1,-1,1,1,0,2,34,97,12,10,0,0
1972,211,-1,-1,0,1,5,3,45,8,12,13,0,0
1972,259,-1,-1,0,2,3,2,47,8,14,97,0,0
1972,434,-1,-1,1,2,3,2,75,4,6,97,0,0
1972,515,-1,-1,1,1,99,1,26,8,12,14,0,0
1972,525,-1,-1,0,1,6,2,48,98,97,12,0,0
1972,635,-1,-1,1,1,7,3,65,97,8,8,0,0
1972,677,-1,-1,0,1,0,2,43,14,12,15,0,0
1972,721,-1,-1,0,1,2,3,46,8,8,12,0,0
1972,756,-1,-1,1,1,7,3,73,98,0,12,0,0
1972,849,-1,-1,0,1,2,2,29,18,16,16,0,0
1972,949,-1,-1,0,1,2,3,34,3,8,13,0,0
1972,955,-1,-1,0,5,5,0,19,97,16,97,0,0
1972,1007,-1,-1,2,1,5,3,33,10,10,12,0,0
1972,1054,-1,-1,1,4,3,0,58,98,98,97,0,0
1972,1164,-1,-1,2,1,1,2,30,13,14,18,0,0
1972,1198,-1,-1,1,1,7,0,34,98,98,12,0,0
1972,1311,-1,-1,1,3,3,2,49,97,99,97,0,0
1972,1400,-1,-1,0,2,4,1,64,97,97,97,0,0
1972,1435,-1,-1,0,1,7,8,42,4,4,8,0,0
1972,1499,-1,-1,1,2,7,1,56,12,0,97,0,0
1972,1535,-1,-1,0,1,7,4,59,0,0,16,0,0
1972,1570,-1,-1,0,1,1,4,38,8,8,11,0,0
1972,1571,-1,-1,0,4,1,2,42,98,8,97,0,0
1973,5,-1,-1,2,1,6,4,54,6,8,9,0,0
1973,10,40,-1,0,1,6,1,46,14,8,12,0,0
1973,92,65,-1,0,1,3,1,27,10,12,16,0,0
1973,295,-1,-1,1,1,1,2,50,12,14,16,0,0
1973,302,-1,-1,1,1,2,4,39,12,10,6,0,0
1973,367,40,-1,0,1,8,2,40,7,7,12,0,0
