ID,SIBS,CHILDS,AGE,EDUC,PAEDUC,MAEDUC
3,5,5,87,4,4,0
6,5,0,30,12,16,12
9,1,3,62,17,8,8
12,0,6,44,12,8,12
13,3,2,30,11,5,4
15,7,5,65,14,97,8
18,3,2,34,13,9,11
19,8,0,81,9,98,98
20,5,2,32,16,6,5
21,0,0,24,15,12,10
24,2,1,65,9,98,98
26,6,0,18,11,12,12
29,7,5,70,8,5,0
31,11,2,80,6,12,97
33,1,0,20,12,7,12
37,3,0,23,9,97,0
40,2,2,37,12,12,97
43,1,3,57,11,12,8
45,1,0,27,19,97,12
47,2,0,35,15,98,98
50,4,0,63,8,97,97
54,3,0,24,12,12,12
57,3,0,36,12,11,16
61,5,0,32,12,6,12
64,1,3,58,13,7,12
68,10,0,57,11,3,5
78,0,2,81,12,8,8
80,5,2,66,10,98,6
83,4,0,30,14,12,11
88,3,0,26,16,16,14
91,6,0,19,11,97,5
96,2,0,25,16,97,97
99,3,1,23,12,9,11
102,8,4,49,12,98,9
109,8,2,50,12,98,98
111,4,4,28,16,10,10
113,2,0,22,12,16,12
116,4,0,22,12,8,8
120,1,2,23,14,97,8
123,3,0,32,12,9,11
127,5,0,32,20,18,13
130,3,2,29,14,14,9
132,5,1,31,12,14,12
135,4,0,27,14,10,12
138,3,1,30,11,11,10
141,2,2,41,16,8,12
144,4,0,22,13,12,12
146,7,1,23,12,12,98
147,5,5,56,7,6,6
150,4,4,55,12,97,12
153,1,2,33,16,12,12
156,1,0,50,20,10,15
159,4,2,60,12,6,12
161,2,1,62,12,7,10
162,1,2,49,13,10,7
163,3,0,70,10,97,97
166,8,6,51,9,0,0
168,5,2,27,16,13,8
169,1,0,19,13,16,14
176,2,0,78,16,5,97
178,0,0,72,8,97,8
181,1,0,59,8,97,98
183,5,3,32,12,12,14
188,9,0,71,9,98,4
191,5,2,67,4,4,4
194,1,2,39,16,10,10
197,4,0,19,12,16,16
199,2,0,40,17,12,12
202,7,2,60,12,12,12
205,2,0,22,14,98,12
210,2,0,36,12,98,16
212,7,0,70,12,6,8
214,4,2,53,12,8,98
220,6,3,53,12,97,8
223,0,3,45,16,7,7
226,1,0,79,8,8,8
229,4,1,23,12,14,12
232,2,0,75,9,12,8
234,5,2,87,12,6,6
237,6,2,40,13,9,12
240,4,0,19,12,97,98
243,6,2,72,8,3,4
244,1,2,33,12,12,8
247,2,2,63,12,98,98
253,4,2,34,12,8,11
259,7,2,21,12,97,13
264,9,4,30,11,14,10
266,5,0,32,12,97,12
272,6,0,22,14,8,12
273,3,0,32,16,97,12
275,5,4,71,15,12,14
277,4,0,24,10,12,12
279,2,0,66,18,14,12
283,1,0,41,20,4,8
287,1,3,51,18,13,12
289,1,2,42,12,11,17
291,2,4,70,13,97,98
294,0,8,59,5,6,98
296,6,3,51,10,98,98
299,5,1,25,7,9,6
302,5,1,22,12,3,13
304,1,3,63,16,97,9
307,8,4,35,12,98,98
310,13,1,23,12,4,7
313,1,0,29,16,12,11
316,4,3,62,12,6,6
318,3,0,24,16,8,12
322,4,0,19,12,97,12
326,3,0,21,7,97,98
329,13,2,40,9,4,8
330,4,4,86,4,4,5
332,4,0,77,8,7,0
334,6,7,57,8,0,7
337,4,1,60,11,9,6
341,2,2,40,19,9,12
344,8,3,39,9,12,14
347,5,5,54,12,9,13
350,1,0,32,16,13,12
352,4,0,19,11,15,12
361,8,7,34,8,97,0
364,6,0,63,6,98,98
368,4,0,19,12,12,12
371,2,0,24,12,16,14
374,4,1,31,16,16,16
377,4,2,34,12,18,6
382,3,0,57,14,4,12
385,3,3,37,9,3,10
388,12,1,27,12,5,10
396,4,3,33,16,8,12
399,1,0,24,17,9,18
402,5,2,52,14,8,98
405,8,4,45,13,16,12
407,3,2,77,10,5,5
411,6,3,59,12,12,9
417,7,3,48,12,6,8
421,1,3,63,16,14,16
422,1,2,55,15,97,12
425,4,4,73,8,6,6
428,0,1,30,18,12,16
431,5,2,78,14,98,8
432,1,0,23,16,16,14
438,1,0,21,15,18,18
441,1,5,64,12,12,12
443,1,0,67,13,12,12
445,7,6,54,7,4,8
448,1,1,38,14,12,14
450,9,0,54,15,6,6
455,0,2,64,16,97,18
459,14,3,35,12,4,9
461,6,3,42,14,97,12
465,1,1,33,13,14,12
467,1,0,20,12,12,12
470,4,0,27,12,16,13
473,6,1,26,12,5,10
476,8,0,21,10,9,10
477,5,2,68,18,18,18
480,3,3,65,9,98,98
483,0,3,66,12,98,8
484,10,3,65,10,6,8
485,3,1,69,12,10,8
488,18,4,69,5,0,0
489,3,0,33,14,97,3
490,1,2,27,12,98,12
493,7,1,29,10,9,8
496,9,2,58,12,5,5
499,11,2,67,8,98,0
501,10,0,65,9,6,6
504,3,3,46,13,8,12
506,4,1,66,9,98,98
509,4,6,53,11,8,8
512,2,1,49,12,97,16
515,0,3,33,9,97,8
518,10,3,24,12,98,12
522,1,3,56,13,4,8
524,2,2,41,12,8,8
529,4,0,61,10,97,98
532,2,0,20,12,14,12
534,4,2,36,12,11,10
536,1,0,27,16,12,14
541,2,2,36,14,12,8
544,7,2,63,9,0,6
546,1,3,83,8,98,98
549,2,2,31,13,8,18
551,5,2,51,15,97,97
554,2,2,41,12,8,8
557,0,0,20,12,14,9
559,5,4,53,12,12,12
564,7,8,67,8,8,3
568,10,0,36,12,6,9
574,4,0,24,12,12,9
576,9,3,70,12,98,98
579,2,2,36,11,6,4
581,5,0,22,12,12,13
585,7,7,87,98,98,98
588,8,4,76,11,7,7
591,9,1,50,20,8,8
598,1,2,34,12,12,12
600,9,4,99,4,0,3
604,4,3,83,4,4,4
606,1,0,21,12,12,12
609,2,2,46,12,6,14
611,8,5,59,18,12,14
614,0,3,44,17,17,17
616,7,4,56,8,4,5
619,7,3,69,10,8,8
620,2,0,21,12,12,10
622,3,2,33,10,4,14
624,1,2,36,12,12,12
629,3,2,33,12,18,12
631,2,0,20,12,17,12
633,3,1,99,16,12,98
634,11,6,57,2,5,6
637,3,2,30,10,97,98
640,10,1,85,12,98,98
642,4,4,77,9,98,1
645,6,4,48,6,97,0
647,3,0,63,20,8,8
649,2,2,55,10,98,98
651,2,4,44,16,14,14
653,2,2,81,9,8,8
658,3,3,41,11,14,12
661,1,0,53,11,6,8
666,2,0,60,12,12,12
672,4,3,83,5,97,6
677,2,0,82,12,12,8
679,2,3,74,8,8,8
682,14,2,46,12,12,8
684,1,3,50,13,8,12
686,2,0,64,12,4,8
689,7,1,55,12,98,98
692,2,4,75,13,12,12
694,10,0,21,12,8,11
696,4,4,44,12,8,8
699,2,0,64,7,97,8
701,12,3,57,12,4,3
704,10,5,68,9,7,7
705,4,3,36,11,8,8
710,4,0,22,16,16,9
711,6,0,24,15,12,14
716,1,4,51,15,12,12
717,7,1,19,9,16,11
721,7,0,50,17,14,12
722,13,2,45,8,0,0
724,8,0,20,11,5,6
727,11,6,82,7,0,10
729,0,0,49,9,98,98
732,6,2,54,11,97,8
734,4,2,54,7,5,5
739,5,1,33,16,10,10
742,1,5,70,4,0,6
744,6,1,26,12,12,12
747,4,3,35,14,98,12
748,8,3,32,12,14,11
750,5,5,73,11,98,98
751,6,1,19,9,4,9
755,4,3,27,11,98,98
758,11,0,24,12,2,4
760,6,2,27,10,97,8
763,0,4,55,17,12,6
765,1,0,27,19,19,13
768,2,1,24,16,16,12
771,4,1,27,12,6,6
774,6,0,30,13,12,12
778,1,3,49,16,98,16
780,3,2,58,19,11,12
786,5,0,47,14,12,10
791,6,3,71,11,8,3
792,7,5,37,12,8,12
793,0,4,36,10,99,5
794,7,0,29,11,5,6
795,6,3,32,8,98,98
797,4,1,22,12,97,12
801,6,0,67,12,8,9
806,4,4,26,9,97,97
807,1,0,23,16,16,12
815,12,6,84,6,0,0
818,4,2,31,12,12,12
821,4,0,22,15,11,12
822,6,1,34,12,6,11
824,0,3,41,11,97,7
827,5,2,36,14,7,8
829,5,0,19,11,12,10
833,1,1,21,12,12,12
834,6,1,61,12,98,98
837,3,0,20,12,12,12
843,8,0,74,10,8,6
846,5,0,19,11,11,11
849,3,1,37,10,11,12
851,0,0,57,8,6,97
853,1,1,43,16,12,14
856,2,1,35,20,16,16
858,3,0,35,12,12,12
860,5,2,32,12,8,8
863,1,1,29,12,97,12
865,5,2,60,12,6,4
871,9,1,20,11,9,8
876,10,0,20,12,8,12
879,4,2,23,9,11,9
881,0,0,20,12,10,6
882,4,4,67,12,0,0
887,5,0,33,12,12,12
888,2,0,21,12,12,12
891,3,0,22,15,12,12
892,5,0,22,15,16,14
896,16,0,26,9,98,98
899,4,1,19,13,97,10
900,4,0,82,13,5,98
907,2,1,37,14,8,8
910,1,1,31,16,12,12
915,2,0,28,14,16,16
918,5,2,72,8,8,8
921,1,5,42,12,11,12
923,8,2,71,10,98,3
926,5,0,20,12,17,12
928,2,2,26,12,12,14
934,11,2,99,12,8,6
939,1,0,21,12,12,12
940,3,2,34,12,97,98
942,3,3,29,12,12,8
945,1,2,22,12,14,12
948,1,0,66,12,98,8
953,4,1,34,12,12,16
956,1,0,22,14,13,12
959,5,4,48,14,8,8
961,2,2,42,16,12,12
965,4,2,27,12,9,12
966,6,6,57,15,12,12
967,1,4,51,15,8,12
969,4,5,48,12,12,12
971,1,3,38,12,12,9
972,4,0,20,10,8,8
974,8,4,54,11,8,8
976,1,7,41,12,8,12
979,8,2,71,16,8,6
981,0,8,55,11,97,98
984,5,3,56,8,8,8
987,3,2,31,16,20,16
995,1,2,50,18,17,13
996,1,0,28,17,12,12
998,0,3,37,16,14,12
1000,7,0,23,16,97,11
1003,7,0,22,14,12,99
1009,7,0,99,12,97,98
1012,4,3,27,12,12,10
1017,3,2,60,12,97,6
1019,12,7,67,6,12,6
1029,3,1,59,6,97,98
1033,2,1,99,14,98,98
1034,8,0,56,13,98,97
1037,13,3,44,10,97,98
1039,1,2,33,16,12,14
1045,1,3,38,16,12,12
1048,1,2,60,12,7,7
1051,7,2,57,12,10,97
1054,1,0,30,20,12,12
1058,2,1,21,12,9,10
1061,4,0,31,12,3,6
1064,1,0,55,12,12,12
1067,4,5,54,12,97,8
1068,5,3,29,12,12,98
1071,1,6,68,8,98,98
1073,2,0,20,13,12,12
1080,0,1,44,12,3,8
1085,0,0,31,16,11,12
1087,2,0,25,16,13,16
1090,1,4,69,15,98,98
1093,1,0,63,12,7,8
1098,2,5,41,14,9,8
1103,5,2,37,12,9,8
1105,13,2,76,4,98,0
1107,9,0,69,6,98,98
1110,12,0,56,11,0,10
1112,5,0,31,13,4,12
1114,6,0,27,12,97,10
1124,2,2,47,12,97,10
1127,4,0,20,12,98,12
1129,4,2,53,18,9,6
1133,6,0,24,13,3,11
1134,2,1,29,13,16,97
1137,4,3,48,14,97,9
1141,1,0,70,10,6,8
1144,3,0,20,12,12,12
1146,7,8,75,8,7,6
1155,0,2,60,16,11,12
1156,3,1,85,10,97,98
1161,2,3,84,16,16,14
1164,8,1,21,12,16,16
1169,2,1,35,13,97,16
1174,2,3,35,12,98,98
1175,2,2,27,12,97,10
1178,2,0,26,18,97,9
1180,5,2,49,12,98,98
1181,5,1,65,10,98,98
1184,1,0,29,16,12,12
1188,1,0,21,14,97,13
1190,2,1,35,18,14,12
1193,6,2,19,8,97,8
1195,3,1,28,16,20,14
1198,2,3,47,15,20,8
1200,5,1,19,10,97,11
1204,5,2,31,15,8,12
1207,2,0,26,16,14,12
1211,4,0,21,13,16,12
1214,4,1,29,17,12,12
1216,0,1,32,15,12,12
1218,1,0,30,16,12,12
1220,5,0,30,12,13,12
1228,5,2,34,12,12,12
1230,7,4,33,16,97,0
1232,0,0,61,18,4,13
1234,2,2,69,13,8,16
1240,2,0,33,15,12,98
1243,2,2,64,14,20,18
1244,4,1,27,14,16,16
1251,11,0,80,8,98,98
1254,6,1,65,12,15,8
1261,1,3,34,18,3,8
1265,2,0,28,13,12,12
1266,1,0,33,19,18,12
1267,4,6,53,18,3,6
1270,4,3,57,18,98,98
1272,6,1,23,11,10,11
1274,4,3,48,12,97,8
1275,6,0,68,7,6,7
1280,1,2,65,12,97,8
1282,3,1,25,13,98,12
1283,6,0,24,12,12,10
1286,9,3,32,13,6,8
1288,2,2,58,14,98,98
1296,14,2,86,3,97,97
1304,4,3,61,12,7,97
1306,1,4,40,17,12,12
1307,1,3,52,12,7,12
1308,8,2,29,14,13,12
1310,8,5,78,4,98,98
1313,5,3,42,15,8,12
1315,11,7,31,8,98,98
1317,4,2,35,10,97,12
1320,11,4,63,3,0,98
1322,8,2,60,12,8,98
1325,2,0,22,15,16,16
1331,7,3,31,12,3,1
1334,3,1,21,12,14,12
1338,2,2,29,14,11,4
1340,8,1,32,12,6,9
1342,1,1,35,14,8,98
1345,3,2,29,14,7,12
1348,3,0,22,16,18,12
1353,0,1,34,18,12,16
1355,6,3,33,12,97,7
1358,4,7,42,12,97,5
1361,12,2,45,10,97,97
