question_number|variable|question_text
1|WRKSTAT|Last week were you working full time, part time, going to school, keeping house, or what?
1A|HRS1|IF WORKING, FULL OR PART TIME: How many hours did you work last week, at all jobs?
1B|HRS2|IF WITH A JOB, BUT NOT AT WORK: How many hours a week do you usually work, at all jobs?
1C|EVWORK|IF RETIRED, IN SCHOOL, KEEPING HOUSE, OR OTHER: Did you ever work for as long as one year?
2A|OCC|What kind of work do you (did you normally) do? That is, what (is/was) your job called?
2B||What (do/did) you actually do in that job? Tell me, what (are/were) some of your main duties?
2C||What kind of place (do/did) you work for?
2D||What (do/did) they (make/do)?
2E|WRKSLF|(Are/Were) you self employed or (do/did) you work for someone else?
2F|WRKGOVT|Are/Were) you employed by the federal, state or local government or by a private employer (including non-profit organizations)?
2G|COMMUTE|About how much time (does/did) it usually take you to travel to work - about how many minutes?
3|OCC80|Respondent's Occupation, Prestige, and Industry
4|MARITAL|Are you currently--married, widowed, divorced, separated, or have you never been married?
4A|MARTYPE|CODE TYPE OF MARRIAGE
4B|MARCOHAB|Marital and cohabitation status
4C|AGEWED|IF EVER MARRIED: How old were you when you first married?
4D|DIVORCE|IF CURRENTLY MARRIED OR WIDOWED: Have you ever been divorced or legally separated?
4E|WIDOWED|IF CURRENTLY MARRIED, SEPARATED, OR DIVORCED: Have you ever been widowed?
5|SPWRKSTA|Last week was your (wife/husband) working full time, part time, going to school, keeping house, or what?
5A|SPHRS1|IF WORKING, FULL OR PART TIME: How many hours did (he/she) work last week, at all jobs?
5B|SPHRS2|IF WITH A JOB, BUT NOT AT WORK: How many hours a week does (he/she) usually work, at all jobs?
5C|SPEVWORK|IF RETIRED, IN SCHOOL, KEEPING HOUSE, OR OTHER: Did (he/she) ever work for as long as one year?
6A|SPOCC|What kind of work (does/did) your [SPOUSE] normally do? That is, what (is/was) (his/her) job called?
6B||What (does/did) [SPOUSE] actually do in that job? Tell me, what (are/were) some of (his/her) main duties?
6C||What kind of place (does/did) [SPOUSE] work for?
6D||What (do/did) they (make/do)?
6E|SPWRKSLF|(Is/Was) (he/she) self-employed or (does/did) (he/she) work for someone else?
6F|SPWRKGVT|(Is/Was)(s/he) employed by the federal, state, or local government or by a private employer (including non-profit organizations)?
7|SPOCC80|Spouse's Occupation, Prestige, and Industry
8|COWRKSTA|Last week was your partner working full time, part time, going to school, keeping house, or what?
8A|COHRS1|IF WORKING, FULL OR PART TIME: How many hours did (he/she) work last week, at all jobs?
8B|COHRS2|IF WITH A JOB, BUT NOT AT WORK: How many hours a week does (he/she) usually work, at all jobs?
8C|COEVWORK|IF RETIRED, IN SCHOOL, KEEPING HOUSE, OR OTHER: Did (he/she) ever work for as long as one year?
9A||What kind of work (does/did) your partner normally do? That is, what (is/was) (his/her) job called?
9B||What (does/did) [PARTNER] actually do in that job? Tell me, what (are/were) some of (his/her) main duties?
9C||What kind of place (does/did) [PARTNER] work for?
9D||What (do/did) they (make/do)?
9E|COWRKSLF|(Is/Was) (he/she) self-employed or (does/did) (he/she) work for someone else?
10A|PAOCC16|What kind of work did your father (FATHER SUBSTITUTE) normally do while you were growing up? That is, what \was his job called?
10B||What did he actually do in that job? Tell me, what were some of his main duties?
10C||What kind of place did he work for?
10D||What did they (make/do)?
10E|PAWRKSLF|Was he self-employed or did he work for someone else?
11|PAOCC80|Father's Occupation, Prestige, and Industry
12A|MAOCC80|What kind of work did your (mother/MOTHER SUBSTITUTE) usually do while you were growing up? That is, what was her job called?
12B||IF NOT ALREADY ANSWERED, ASK: What did she actually do in that job? Tell me, what were some of her main duties?
12C||What kind of place did she work for?
12D||IF NOT ALREADY ANSWERED, ASK: What did they (make/do)?
12E|MAWRKSLF|IF ALREADY ANSWERED, CODE WITHOUT ASKING: Was she self-employed, or did she work for someone else?
13|FOUND|Case was retrievable in 2012
14A|OCCINDV|R's occ/ind verbatim retrieved
14B|OCCSTATUS|OCC10 coding status
14C|OCCTAG|OCC10 coding tag
14D|INDSTATUS|INDUS10 coding status
14E|INDTAG|INDUS10 coding tag
15A|PAOCCINDV|R's father's occ/ind verbatim retrieved
15B|PAOCCSTATUS|PAOCC10 coding status
15C|PAOCCTAG|PAOCC10 coding tag
15D|PAINDSTATUS|PAIND10 coding status
15E|PAINDTAG|PAIND10 coding tag
16A|SPOCCINDV|R's spouse's occ/ind verbatim retrieved
16B|SPOCCSTATUS|SPOCC10 coding status
16C|SPOCCTAG|SPOCC10 coding tag
